rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
261,調,4735536,,,,
262,消,4730287,,,,
263,攻,4709858,,,,
264,緒,4698349,,,,
265,進,4696624,,,,
266,掛,4672463,,,,
267,馬,4636359,,,,
268,答,4627060,,,,
269,存,4623284,,,,
270,由,4616097,,,,
271,石,4603671,,,,
272,座,4585215,,,,
273,新,4579331,,,,
274,頼,4570841,,,,
275,苦,4551280,,,,
276,腕,4536132,,,,
277,浮,4520134,,,,
278,報,4512692,,,,
279,果,4476886,,,,
280,集,4448852,,,,
281,車,4416059,,,,
282,業,4406481,,,,
283,題,4406246,,,,
284,構,4402419,,,,
285,赤,4393900,,,,
286,素,4385343,,,,
287,逃,4383464,,,,
288,髪,4376485,,,,
289,山,4369032,,,,
290,異,4357153,,,,
291,失,4304040,,,,
292,加,4286495,,,,
293,囲,4285379,,,,
294,周,4280906,,,,
295,文,4259743,,,,
296,願,4258540,,,,
297,太,4253358,,,,
298,険,4245881,,,,
299,寝,4240060,,,,
300,兄,4226668,,,,
301,助,4225909,,,,
302,奴,4171478,,,,
303,識,4166250,,,,
304,備,4162993,,,,
305,走,4160741,,,,
306,有,4136249,,,,
307,木,4131534,,,,
308,普,4119443,,,,
309,両,4116615,,,,
310,形,4105361,,,,
311,兵,4080992,,,,
312,敵,4053478,,,,
313,痛,4008556,,,,
314,触,3996252,,,,
315,広,3977619,,,,
316,差,3963545,,,,
317,店,3944452,,,,
318,常,3919933,,,,
319,段,3918637,,,,
320,器,3886739,,,,
321,為,3871655,,,,
322,服,3866015,,,,
323,押,3855932,,,,
324,断,3851318,,,,
325,点,3850112,,,,
326,訳,3841927,,,,
327,追,3838891,,,,
328,半,3835032,,,,
329,軍,3824303,,,,
330,守,3818526,,,,
331,寄,3813333,,,,
332,血,3806049,,,,
333,野,3802274,,,,
334,驚,3763898,,,,
335,限,3759795,,,,
336,予,3739155,,,,
337,隊,3701086,,,,
338,花,3673837,,,,
339,姉,3671384,,,,
340,肉,3654851,,,,
341,活,3653255,,,,
342,恐,3647226,,,,
343,欲,3624138,,,,
344,胸,3605144,,,,
345,打,3596545,,,,
346,師,3586067,,,,
347,急,3547913,,,,
348,飲,3547022,,,,
349,供,3504547,,,,
350,再,3502350,,,,
351,平,3500203,,,,
352,運,3477300,,,,
353,団,3466761,,,,
354,位,3460474,,,,
355,勢,3453978,,,,
356,格,3452806,,,,
357,読,3445960,,,,
358,深,3436716,,,,
359,負,3425341,,,,
360,火,3419610,,,,
361,村,3417917,,,,
362,告,3411874,,,,
363,渡,3404848,,,,
364,経,3402612,,,,
365,遠,3386165,,,,
366,装,3384436,,,,
367,語,3377101,,,,
368,満,3371459,,,,
369,街,3358415,,,,
370,騎,3343882,,,,
371,故,3335082,,,,
372,期,3322689,,,,
373,単,3306795,,,,
374,皆,3304311,,,,
375,朝,3290101,,,,
376,記,3286711,,,,
377,完,3285575,,,,
378,横,3282117,,,,
379,都,3279239,,,,
380,海,3264850,,,,
381,友,3262829,,,,
382,共,3256859,,,,
383,田,3237052,,,,
384,側,3235380,,,,
385,組,3230572,,,,
386,移,3219640,,,,
387,怒,3211780,,,,
388,隠,3207790,,,,
389,探,3196073,,,,
390,質,3184823,,,,
391,約,3177983,,,,
392,青,3175312,,,,
393,武,3169731,,,,
394,右,3166132,,,,
395,怖,3160496,,,,
396,静,3144309,,,,
397,際,3136279,,,,
398,速,3129063,,,,
399,鳴,3094874,,,,
400,難,3086625,,,,
401,冷,3082887,,,,
402,任,3082824,,,,
403,料,3082814,,,,
404,望,3080765,,,,
405,降,3072071,,,,
406,和,3064676,,,,
407,利,3036978,,,,
408,御,3012751,,,,
409,茶,3010406,,,,
410,仲,3008754,,,,
411,闘,2983720,,,,
412,処,2976432,,,,
413,余,2955153,,,,
414,腹,2941013,,,,
415,軽,2939177,,,,
416,選,2938594,,,,
417,交,2936876,,,,
418,幸,2932901,,,,
419,公,2923780,,,,
420,殿,2920263,,,,
421,辺,2907957,,,,
422,輩,2906260,,,,
423,品,2897183,,,,
424,頃,2880821,,,,
425,勇,2873533,,,,
426,傷,2872570,,,,
